t,Levothyroxine
0,50
24,50
48,50
72,50
96,50
120,50
144,50
168,50
192,50
216,50
240,50
264,50
288,50
312,50
336,50
360,50
384,50
408,50
432,50
456,100
480,100
504,100
528,100
552,100
576,100
600,100
624,100
648,100
672,100
696,100
720,100
744,100
768,100
792,100
816,100
840,100
864,100
888,100
912,100
936,100
960,100
984,100
1008,100
1032,100
1056,100
1080,100
1104,100
1128,100
1152,100
1176,100
1200,100
1224,100
1248,100
1272,100
1296,100
1320,100
1344,100
1368,100
1392,100
1416,100
1440,100
1464,100
1488,100
1512,100
1536,100
1560,100
1584,100
1608,100
1632,100
1656,100
1680,100
1704,100
1728,100
