t,T4,T3,TSH,Leukocytes,Ab
0.0,,,,441.2946917927644,7.443946027560596e8
3.2492538122424714e-6,0.1993023926683371,,,,
0.0004406407904134517,,,,,
1.3943295840467562,,,,,
7.340512412049405,,0.004410738198191533,,,8.063039826178813e8
12.686721949868186,0.19521066937748063,,5.899166406371812,,7.326277864868197e8
21.285259210712088,,,,,
24.482912738877957,,,,410.33577868211626,
29.407558045849147,,,3.343202531114697,438.37233749062625,
34.96662131394646,,,,,
42.74784896081087,0.1929788247013463,,,,
48.12327368844845,,,,441.8303857077091,
52.20635780164159,,,,,
58.21940563286146,,,,,
65.45814565554659,,,,,
72.0,,,,,7.432031805758373e8
78.15314846361414,,,,,
83.69497099827899,,,,,8.131926815708966e8
91.96213767164001,,0.004720569359528703,,,
97.63436554743173,0.18717511542514628,,,,
104.2711749558102,,,,418.79862679092014,
109.76273330410449,,,,,
118.58208012660887,,,6.105848142913122,,
122.19442058062802,,0.004459411774071795,,,
128.6379947583764,,0.004369333314287934,,,
134.27814015053556,,,,401.55380899077204,
143.05430472311704,,0.004334069697367475,4.918889537578862,438.23134908437066,
147.72868603946827,0.20330461492567872,,,,
154.11904771952982,,,,,
161.2383984855591,,0.004921325116561594,7.650349803139773,,
168.0,,,,,7.397233556660626e8
174.53154271773974,,,,,6.858780784427501e8
179.90171571171874,,,,,
188.33841556454362,0.2085842434385069,,7.006042668727977,,
193.06645150886942,,0.004773565449026457,,,
199.15824465218338,,0.004254354977872601,,430.4010783896211,
204.47873757418083,,,,,
213.12893856877332,,,6.415056032672105,,
217.45004936045626,,0.004584884379420279,4.276621243330581,,
223.7071720902755,,,,,7.808517720099849e8
229.06049230670732,,,,429.5108158606875,
237.8381802108671,,,,,
242.00019263128652,0.19364831239554461,0.004602856744944725,3.6645235160113585,,
248.4620518478526,0.20688307628683494,0.004452016722920973,,382.58483672575625,
254.05233641701875,,,,,
262.76695970453613,,,,410.8767426520831,
268.79878781157373,0.18736252589229338,,,,
274.8388253313699,,0.004418372464762357,,,7.837886773994089e8
282.6308832500097,,,7.629481223066715,,
288.2852305249831,0.17919871293283787,,,,
293.49779703346246,,0.004314691352312522,3.144188382853482,,7.745177053265116e8
299.06695405499556,,,,,
306.9086245342502,,,,,7.37654782137561e8
313.1997770419826,,,,,
320.2023184428931,0.1931015541788454,0.004830228872091226,,,
325.80087372688763,,,6.1388573931727155,,
334.60996366047317,,,5.478450926116935,,
337.9567845476204,0.19589198469145427,0.004538790627118881,,,
344.4187282640927,0.1825742807048245,,,,
349.99844342922097,,,,,
358.71870199023886,0.18985331972862557,,,,
365.00466177287416,,0.004443604851424716,,,
370.96241121438385,,,4.6923236591625885,414.4956554782649,
378.7803965001138,,0.004421728929273382,,,
384.06722320966264,,,,,
387.5719447503577,,,,429.6844991076436,
393.943378348505,0.19573991394284984,,,,
400.65565072668545,0.18888023476585342,,,,
408.0,,,,,7.080054270041622e8
410.5653757699995,,0.004708610815494637,,,
416.9209820115346,,,,,
422.67298654280273,,,7.005936848450159,,7.934062797718562e8
431.33234905744837,,,,402.4780026228277,
433.67424869900526,,,4.0906651183130585,,
439.85993506939815,0.19827879729422718,,,,
445.27457594091516,0.19556828503173126,,,,
453.98403307102103,,,,,
456.9777277060869,,,,,
462.73398262239203,,,,424.36449229234745,
468.09105687192624,,0.004143864082948313,,,
476.5028661074251,,,,,
480.379484149742,,,,,
485.2383726068998,,,,,
490.7269147781859,0.18350433720138876,,,,
498.357692561021,,,7.456391909346877,,
504.50113341868274,,,,,
510.85514083626924,,,,,
516.2878059032213,,,,,7.363881971946493e8
524.8185480667468,,,,,
530.1184639939885,,0.004568055488328713,,401.1787002071922,
536.7616645364641,,,,,7.27057566961834e8
542.4480593856899,,0.004615793673125051,,,
551.2319699060853,,,,411.3060284345996,
554.8285486720813,,,,,7.395554168957016e8
561.2130060775102,0.1893492407265393,,3.801418231975888,,
567.1132756927758,,,7.654808012535106,,
575.7584176655074,,,,,
580.2744786284279,,,,,
586.2880931737724,,,,,
593.6451525219895,,,,,
600.0,,,,,
605.5134481586769,,,,,
611.1064466796072,,0.0044404864544461365,,,
618.9933838225569,,,,,
625.1500770697767,,0.004300729942716252,,,
632.1016223884099,,,,,
637.6739757243189,,,7.029814999953086,,
646.5183634768752,,,,,
650.5830889695919,,,,392.89116263376843,8.215565092122474e8
657.0644286719505,,,,,
662.9159973575516,,,,,7.998259610733052e8
671.5316562780491,0.18495426604734663,,,,7.364990711734232e8
677.3559469222182,0.1987971097558221,,,,
682.9172989460998,,,,,
690.6870561328043,0.18751877213130513,0.004275142703590196,7.3811399852957225,,
696.2107659969513,,,,,
701.2710800086269,,,,,
706.9089113506502,,,,413.55110735375587,
714.6857395140905,,0.004349702984964205,,,7.541449510054742e8
